Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,105.791,-60.833,0,bottom
C2,100nF,C_0402_1005Metric,105.768,-63.246,0,bottom
C3,10uF,C_0603_1608Metric,105.9435,-59.436,0,bottom
C4,22pF,C_0402_1005Metric,110.386,-60.706,0,bottom
C5,22pF,C_0402_1005Metric,110.34,-65.278,180,bottom
C6,1uF,C_0402_1005Metric,100.838,-59.332,90,bottom
D00,D_Small_ALT,D_SOD-123,94.615,-58.292,90,bottom
D01,D_Small_ALT,D_SOD-123,115.316,-56.896,180,bottom
D02,D_Small_ALT,D_SOD-123,132.715,-58.292,90,bottom
D03,D_Small_ALT,D_SOD-123,151.765,-58.292,90,bottom
D10,D_Small_ALT,D_SOD-123,94.615,-77.342,90,bottom
D11,D_Small_ALT,D_SOD-123,113.665,-77.342,90,bottom
D12,D_Small_ALT,D_SOD-123,132.715,-77.342,90,bottom
D13,D_Small_ALT,D_SOD-123,138.43,-78.994,0,bottom
D20,D_Small_ALT,D_SOD-123,94.616,-96.393,90,bottom
D21,D_Small_ALT,D_SOD-123,113.665,-96.394,90,bottom
D22,D_Small_ALT,D_SOD-123,132.715,-96.393,90,bottom
D30,D_Small_ALT,D_SOD-123,94.615,-115.442,90,bottom
D31,D_Small_ALT,D_SOD-123,113.665,-115.443,90,bottom
D32,D_Small_ALT,D_SOD-123,132.715,-115.444,90,bottom
D33,D_Small_ALT,D_SOD-123,138.429,-117.094,0,bottom
D40,D_Small_ALT,D_SOD-123,104.14,-121.03,270,bottom
D42,D_Small_ALT,D_SOD-123,132.715,-121.03,270,bottom
F1,500mA,Fuse_0603_1608Metric,99.568,-55.372,90,bottom
R1,5.1k,R_0402_1005Metric,103.863,-51.562,0,bottom
R2,5.1k,R_0402_1005Metric,100.33,-51.458,270,bottom
R3,10k,R_0402_1005Metric,92.5068,-61.2394,270,bottom
R4,22R,R_0402_1005Metric,102.489,-58.928,90,bottom
R5,22R,R_0402_1005Metric,103.505,-58.928,90,bottom
R6,10k,R_0402_1005Metric,101.346,-67.587,90,bottom
SW1,SW_Push,TACTILE_SWITCH_SMD_5.2MM,88.392,-64.516,90,bottom
U1,USBLC6-2SC6,SOT-23-6,102.997,-55.88,90,bottom
U2,ATmega32U2-MU,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,101.6,-63.5,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,101.6,-41.91,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,110.406,-63.0056,0,bottom